age,income,experience,spend_score,purchased
27,43867,7,33.867,0
40,76237,17,72.237,1
49,104165,28,95,1
35,66145,16,78.145,1
31,58015,12,63.015,1
28,42238,6,34.238,0
49,102307,26,95,1
41,90317,23,95,1
27,41589,5,29.589,0
46,95697,23,95,1
39,77725,18,69.725,1
43,87995,22,95,1
31,48309,10,60.309,1
31,49300,10,51.3,0
44,80509,23,92.509,1
41,71687,18,83.687,1
24,27339,1,20,0
28,45575,8,38.575,0
44,92515,25,80.515,1
23,19611,0,30.611,0
42,80335,21,86.335,1
41,82062,23,83.062,1
22,20878,0,20,0
44,87444,21,72.444,1
32,57675,14,62.675,1
26,42979,8,46.979,0
22,29663,4,26.663,0
48,92841,28,95,1
41,67449,18,67.449,1
21,33304,3,46.304,0
32,51956,11,48.956,0
46,87276,24,85.276,1
42,82058,24,69.058,1
49,110806,29,95,1
32,41171,8,31.171,0
45,93380,22,95,1
37,79900,17,82.9,1
47,94748,29,83.748,1
47,80626,24,79.626,1
30,44739,8,53.739,0
48,123780,30,95,1
48,115063,28,95,1
36,79920,17,87.92,1
35,55613,14,69.613,1
35,54250,11,56.25,1
39,70700,19,81.7,1
32,47610,9,44.61,0
43,84673,25,73.673,1
40,87365,19,94.365,1
45,102735,27,95,1
23,23306,0,20,0
25,45291,7,51.291,0
39,75414,20,60.414,1
27,38493,6,40.493,0
41,79525,20,78.525,1
29,42414,6,43.414,0
27,30120,3,25.12,0
38,77661,19,82.661,1
24,29180,4,39.18,0
45,113074,27,95,1
48,104799,26,95,1
34,71104,16,82.104,1
38,84924,20,95,1
46,92871,26,93.871,1
29,53867,11,50.867,0
46,95399,27,80.399,1
41,94637,22,80.637,1
22,21070,1,20,0
40,60373,17,47.373,0
48,101351,24,86.351,1
35,54167,13,59.167,1
48,119373,30,95,1
27,44809,9,51.809,0
32,49243,12,39.243,0
49,90867,26,95,1
28,48590,9,49.59,0
35,63710,13,52.71,0
23,24956,2,20,0
34,64321,15,54.321,0
37,67768,14,54.768,0
24,17914,0,22.914,0
38,78108,17,85.108,1
28,32545,4,21.545,0
24,35883,4,40.883,0
22,22382,2,20,0
26,40405,8,34.405,0
42,80728,18,74.728,1
30,38966,7,41.966,0
24,27256,2,28.256,0
42,82259,21,87.259,1
49,97970,30,95,1
38,65382,15,58.382,1
46,94496,23,92.496,1
32,55492,12,40.492,0
22,17502,0,20.502,0
30,53553,12,50.553,0
24,38608,6,35.608,0
34,63912,13,51.912,0
36,68006,16,82.006,1
35,55039,12,40.039,0
28,35526,6,36.526,0
34,62208,14,54.208,0
43,92817,22,78.817,1
48,111265,27,95,1
45,101238,25,93.238,1
28,46857,7,37.857,0
41,89049,21,95,1
36,59517,17,69.517,1
33,57194,13,43.194,0
38,61914,14,67.914,1
35,68970,15,74.97,1
41,73941,20,60.941,1
44,72785,20,83.785,1
46,87766,25,89.766,1
45,95680,27,91.68,1
48,116418,30,95,1
48,90514,24,95,1
48,101650,29,95,1
33,71789,15,60.789,1
29,47959,9,61.959,1
49,116446,28,95,1
35,77595,17,88.595,1
33,58141,15,67.141,1
21,27617,2,28.617,0
45,87593,21,87.593,1
27,26429,3,25.429,0
29,34117,6,41.117,0
44,85856,25,84.856,1
21,19613,1,20,0
32,45245,8,50.245,0
28,33719,7,31.719,0
44,86363,25,72.363,1
31,56973,13,51.973,0
39,76595,18,79.595,1
37,78425,16,69.425,1
28,51450,10,41.45,0
23,34704,4,46.704,0
23,34786,5,20.786,0
21,24580,0,20,0
47,103881,26,95,1
25,33657,3,20,0
30,52352,8,54.352,0
27,46935,7,60.935,1
46,91904,22,90.904,1
29,49760,11,60.76,1
48,102394,30,95,1
27,46292,7,32.292,0
29,41586,9,45.586,0
28,47771,8,56.771,1
32,53224,11,43.224,0
22,16810,0,20,0
21,29445,3,37.445,0
36,67873,15,66.873,1
43,95879,23,95,1
43,96761,25,95,1
44,82716,23,89.716,1
25,27877,2,21.877,0
23,24958,2,27.958,0
32,48908,9,49.908,0
28,43633,8,32.633,0
42,74139,19,87.139,1
47,115250,29,95,1
23,34143,3,28.143,0
21,29497,3,37.497,0
23,26539,1,27.539,0
25,44528,6,38.528,0
35,62256,12,63.256,1
34,56427,15,68.427,1
23,34062,4,38.062,0
21,15504,0,23.504,0
25,32464,5,21.464,0
46,95755,24,81.755,1
43,87451,25,77.451,1
34,56604,13,61.604,1
27,39481,9,25.481,0
47,99563,26,95,1
29,49233,11,63.233,1
35,52949,12,47.949,0
35,54195,13,49.195,0
46,105916,25,95,1
30,37228,6,32.228,0
48,97498,28,95,1
33,59495,15,58.495,1
39,93806,21,95,1
27,43660,6,50.66,0
37,71272,17,78.272,1
40,77856,20,77.856,1
49,103890,26,95,1
24,20645,0,26.645,0
25,23978,2,23.978,0
43,87824,20,79.824,1
27,34888,4,22.888,0
33,49583,10,41.583,0
35,56190,12,44.19,0
31,44109,9,52.109,0
49,125046,29,95,1
24,25705,1,20,0
33,63662,13,50.662,0
27,35841,7,46.841,0
47,117307,28,95,1
